"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Назначение кожи";"Characteristics:Тип сырья";"Characteristics:Вид кожи";"Characteristics:Минимальный заказ";Characteristics:Цвет;Characteristics:Особенности;Characteristics:Сорт;"Characteristics:Размер шкур";"Characteristics:Толщина (мм)";"Characteristics:Страна производства";"Characteristics:Вид покрытия";"Characteristics:Тип молнии";"Characteristics:Вид соединения";"Characteristics:Цвет тесьмы";"Characteristics:Цвет металла";Characteristics:Длина;"Characteristics:Происхождение сырья";Characteristics:Диаметр;Weight;Length;Width;Height;Unit;Portion;Url
166480113182;;;;"Замша;Замша / Гладкая";"Suede Brown";;;https://static.tildacdn.com/stor3563-6339-4564-b863-343333636661/48702391.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;DZF17VSOIEOgVX0OK8Dp;;Одежная;Овчина;Замша;;Коричневый;;;"5-6 фут2";0.6-0.7;;;;;;;;Африка;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/tproduct/166480113182-suede-brown
544091525812;;;;;"Suede Brown - фут2 - Оттенок коричневого";;;;5.50;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;5tH0llFxecbiYEncun0e;166480113182;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/166480113182-suede-brown?editionuid=544091525812
808246568362;;;;;"Suede Brown - дм2 - Оттенок коричневого";;;;0.59;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;fidK6AYZJjkkvTBAELDJ;166480113182;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/166480113182-suede-brown?editionuid=808246568362
232669954682;;;;Обувная;"Обувная кожа";;;https://static.tildacdn.com/stor6638-3130-4636-a532-653437636261/63386287.jpg;;;;"product_options:[{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;niPdAv1tNtU6GJK4E5j5;;Галантерейная;Овчина;;100;Коричневый;Арт-ОВ-14;;;1.1;;Наппа;;;;;;;;0;0;0;0;FOT;1;https://ozelifkoja.ru/obuvnayakozha/tproduct/232669954682-obuvnaya-kozha
164334930192;;;;;"Обувная кожа - Оттенок бежевого";;;;3.50;;;"Оттенок цвета:Оттенок бежевого #d4b088";;vM1tNMfgpcr5DHZHPzSr;232669954682;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/obuvnayakozha/tproduct/232669954682-obuvnaya-kozha?editionuid=164334930192
840128252052;;;;Обувная;"Обувная кожа";;"Эта кожа идеально подходит для создания обувных изделий!<br />Компания Озелиф кожа предлагает самый широкий ассортимент кожи и дубленочного материала по доступным ценам. Продажа от 1 шкуры!";https://static.tildacdn.com/stor6530-6265-4365-b366-313530393930/74503222.jpg;;;;"product_options:[{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;BTBMj5S4oRCoSyGVFz0T;;Галантерейная;Овчина;;;Красный;Арт-ОВ-14;1;"80-130 дм.кв.";1.1;;Наппа;;;;;;;;0;0;0;0;FOT;1;https://ozelifkoja.ru/obuvnayakozha/tproduct/840128252052-obuvnaya-kozha
377278221282;;;;;"Обувная кожа - Оттенок красного";;;;3.50;;;"Оттенок цвета:Оттенок красного #ff0000";;Dmr4fMZ8OHUloibkr0D8;840128252052;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/obuvnayakozha/tproduct/840128252052-obuvnaya-kozha?editionuid=377278221282
887974597942;;;;"Замша;Замша / Гладкая";"Suede Marocco D.Grey";;;https://static.tildacdn.com/stor3464-3430-4638-a638-383162373634/70668791.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;RO0asg2mLk27BFkU33eu;;Одежная;Овчина;Замша;;Серый;;;"5-6 фут2";0.8-0.9;;;;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/tproduct/887974597942-suede-marocco-dgrey
684788015792;;;;;"Suede Marocco D.Grey - фут2 - Оттенок серого";;;;4.50;;;"Единица измерения:фут2;Оттенок цвета:Оттенок серого #9e9898";;7Tt8GPdz27T40mFVgE4E;887974597942;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/887974597942-suede-marocco-dgrey?editionuid=684788015792
847434962202;;;;;"Suede Marocco D.Grey - дм2 - Оттенок серого";;;;0.48;;;"Единица измерения:дм2;Оттенок цвета:Оттенок серого #9e9898";;aFyAtDxAAUUVekGNLVty;887974597942;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/887974597942-suede-marocco-dgrey?editionuid=847434962202
108574193192;;;;"Замша;Замша / Фактурная";"Sandy Suede Taba";;;https://static.tildacdn.com/stor3061-3834-4037-b662-366364306136/12787888.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;mZ9V8NM002xXbFduvXBu;;Одежная;Овчина;Замша;;Коричневый;;;"4-5 фут2";0.7-0.8;;;;;;;;Африка;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/tproduct/108574193192-sandy-suede-taba
844993449472;;;;;"Sandy Suede Taba - фут2 - Оттенок коричневого";;;;5.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;xrVxNVe3VmseazBk7a3V;108574193192;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/108574193192-sandy-suede-taba?editionuid=844993449472
851925173392;;;;;"Sandy Suede Taba - дм2 - Оттенок коричневого";;;;0.53;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;ziSXbsYbHnyIVpY6FahC;108574193192;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/108574193192-sandy-suede-taba?editionuid=851925173392
895384262642;;;;"Замша;Замша / Гладкая";"Suede Bordo";;;https://static.tildacdn.com/stor6365-3232-4465-b336-653834623136/87011868.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;ZVTxEeeTNPDOs0ntAXhm;;Одежная;Овчина;Замша;;Бордовый;;;"5-6 фут2";0.6-0.7;;;;;;;;Африка;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/tproduct/895384262642-suede-bordo
